text,label
Prof. Ockrassa is a great guy. I'm just not that artsy fartsy :),1
"Professor Agresta taught our ITAL101 class this semester and she was awesome! The class was super easy. No quizzes/tests, just a weekly homework and lecture assignment. She gives good feedback and lets you turn in things late with no penalty. Great professor!",1
"Dr. Long is an amazing professor. She was always so kind and bubbly. Professor Long always had a great attitude and seems to really enjoy her job teaching. Only thing is that her ENGW104 class is super difficult. I really had to work for everything. However, I have learned to become a much better writer and researcher, and I thank her for that.",1
"Stunning professor. Exciting lectures, passion for the material, extremely forgiving of life situations outside of class. He tries to make a dense subject fun and easy to remember, not just for rote memorization reasons, but for clear understanding of the material and future application. Loves ""gotcha"" questions, but they help you learn.",1
"Mrs. Ritch is great! As a professor she went a bit too fast for my liking, but maybe that was just me. You have the ability to get a lot of extra credit in this class, up to a whole letter grade on exams. You will have daily homework and frequent quizzes (some are take-home) so be prepared for that. I looked forward to going to this class!",1
Shes nice but her assignments aren't clear and are a lot of work. She also doesn't grade assignments until like 1-2 months later. ,0
"wish she was less lecture heavy bc i think i would have learned more public speaking skills if we were given more activities that have me practice my speaking rather than exams from a textbook. she has a clear grading criteria but still felt difficult to please, and as someone who used to struggle with a stutter, it was stressful. overall ok",0
This guys an all around good teacher. Do his work and you'll get an A. Kind of a conspiracy theorist but he doesn't push his own beliefs which is cool. I would take him again. Hes also fun and energetic.,1
the fairest accounting professor. She is a great teacher and communicator and tells you exactly what you need to succeed. makes the tests super straight forward and clear.,1
She is just awesome ,1
"This is for on liberation core. He is really passionate about the readings he assigned to us. The class is really clear. He can explain the difficult readings in a clear way. I really learn a lot from his class. 3 quizzes , 1 presentation and an accumulative finals. Take him!",1
"Dr. Hussain lectures very heavy because he derives every equation for you. He covers most of the details that the book itself covers. The way he lectures is absolutely NOT confusing, he makes hard concepts seem easy. You will have TO WORK HARD. If you hope you can get a decent grade with minimum effort, avoid him! Extra credit 30 points on tests!",1
"This class was very easy. If you read the textbook, you could easily get an A on the quizzes. The assignments and discussions were a little time consuming, but overall easy to understand and get a good grade on. The teacher responds promptly to emails and sets the class up for success. I would recommend!",1
Very sweet professor hate to see the reviews. Yes he might come off as rude but I believe it'd just his accent. Loved the extra credit always helped my grade. ,1
"Kristian is a great guy and I really appreciate the effort he took to instruct our class. Kristian is very creative and knows the programs well, but cannot teach very well. Syllabus and ""what Kristian says"" don't line up in terms of assignments and deadlines. Nice guy but not a very good communicator.",0
"This is a very intensive class with many assignments, but Prof. Mordan was pretty supportive and cared about making sure that all students did well.",1
"Average amounts of homework. Lectures were easy to follow. Weekly discussions and assignments that require you to collaborate with other people in your class. Study guides for extra credit, 1 for each exam. In conclusion: It was alright, there are more collaborative assignments than usual in math classes. Do the work and you'll be good.",1
"Literally the goat of all teachers.
All the bad reviews are from students who didn't do the homework and expected to understand the material. He should be your number one option because he keeps the class interesting and you leave every class understanding the material. Also has office hours everyday and will help you with ANYTHING!",1
"Very very fair grader. Goes off topic a lot, if you love real estate, his experience is unmatched and you would learn so much",1
Imagine learning integral math and another language simultaneously. Excellent class and teacher.,1
"The drawback is having NO personal connection via phone, Zoom, etc. I think she actually reads submissions. She offers salient feedback. I worked hard in this internship & suspect others didn't. It's all about the checkboxes. It doesn't matter if you excel. There's no curve. It only matters if you meet the objective. I suspect we all earned ""A""s.",1
"An amazing teacher who cares about his students but is also firm on what he expects. Dont even think about asking for extensions on homework or being quiet in class and expecting an A. You can expect a lot of homework but take it from me whos had him in person and online, you'll learn a lot of valuable things aside from the accounting work, worth",1
"One of my favorite professors! He is a retired plaice officer, he definitely knows his stuff. If you have an option to take this class do it! Funny Guy!",1
"The material is pretty easy, plus Janette is very clear in her lectures and explains concepts well. I took the class online, I watched the lectures at double speed and followed along with her examples in excel. I never even looked at the textbook and got an A. She really cares about her students and is always available for questions.",1
"Took his class for Women's Self Defense and loved it. It was a physical class and does require you to learn defensive moves and be able to demonstrate the skills you learn. His ""tests"" are based on the skills you learn and are easy if you know the skill. Participation does matter and will make or break your grade.",1
clear note,1
"Graded by 5 assignments, 3 quizzes, 3 review guides, 3 exams, 6 labs + reports. Savita is so kind, always welcomes questions, and is very accessible outside of class. Exams mirror the review guides, and an outline is given for every exam. Very straightforward grading and always gives amazing feedback. Excel heavy lab reports. Take this prof!!!",1
"Professor Pratt does not respond to anything over email. He is disorganized and ends class as quickly as possible so he can get out. If you need help with literally anything outside of class, good luck. You're on your own...",0
"Amazing professor! She explains the subjects well, and even slows down if you don't understand a topic! 10 webassigns, 4 data assignments + 1 final. I know the work sounds like a lot, but TRUST ME they help you in the end!! She wants you to figure out answers on your own and THINK. Work is clearly stated. If you fail her class, its your own fault",1
"The professor assigned large group projects that seemed difficult for everyone in the class. When asked questions about the project, the professor would ignore or provide no help relating to said project. The class time was nothing but lectures and quizzes, a very difficult way to learn. Lecture heavy, hard to learn from",0
He is a fantastic professor and person. Lectures are easily understood and he covered a ton of topics in one semester. He is patient and engaging.,1
"He just loves yapping in class, he doesn't want to solve any numerical problems in the class but the exam will be filled with numerical. Wish you luck.",0
"Dean Miller really knows his stuff, and he's good at keeping your attention when he teaches. He has a great sense of humor, too. The feedback he gives is great, and he makes you get out there for some real-world reporting, which is terrifying, but a great experience. He stressed me out, but I loved the class and I learned a lot. 10/10 class!",1
"Dr. D is a respectable professor. They make you work very hard for your grade, but give you lots of help if you need it. They explain topics in depth in class and have great lectures. They expect lots of participation and you MUST READ THE BOOK to pass.",1
We had rhythm of 1 quiz every weekend and one weekend he assigned 2 quizzes and did not tell anybody so I got a zero on the second one.,0
I typically take RMP reviews lightly since most people will only speak on their bad experiences but TRUST ME WHEN I SAY SHE IS GENUINELY A TERRIBLE PROFESSOR. She refused to help students when they got stuck and I do not think she cares about the success and well-being of her students. Extremely hard professor for NO REASON. Avoid at all costs.,0
"He is PhD student who needs to learn how to teach .... So confusing, reads only slides, no experience... 2 midterms and 1 final with giving preparation, but on exam you can find something new, that you never came across during semester...",0
"Terence is a pretty good guy, very engaging and clearly enjoys his work. Course material itself was very interesting and I couldn't wait for the next class!",1
I love Professor Hunt! She is so sweet and nice! I wish I could take her again but it's my last semester. She is so hopeful and if you let her know you are struggling she is more than willing to offer extra credit to you. I highly recommend this professor!!,1
"There are times where he is hard to understand, but he is good with most questions. Definitely ask questions if you don't understand something because the material connects. He also puts his decimal points at the top of his numbers, so watch for that when taking notes.",1
Excellent professor.. Cares about his students..,1
